Tiempo,Fuerza,Ataque,Salida,Verticalidad
19:53:11,17.97,21.9,0.0,-12.1
19:53:11,10.91,79.0,0.0,-5.8
19:53:11,10.23,0.0,-2.8,28.9
19:53:11,15.48,0.0,-6.6,55.7
19:53:11,18.95,0.0,-45.3,-0.0
19:53:11,28.25,0.0,-62.0,-4.3
19:53:11,66.29,0.0,-58.1,-3.8
19:53:11,80.86,0.0,-63.9,5.2
19:53:12,56.43,0.0,-66.0,12.4
19:53:12,38.42,0.0,-75.2,14.0
19:53:12,32.52,0.0,-38.1,15.2
19:53:12,24.61,7.3,0.0,4.0
19:53:12,14.72,62.7,0.0,-14.9
19:53:12,10.4,0.0,-58.2,22.5
19:53:12,12.86,0.0,-3.5,40.9
19:53:12,18.57,0.0,-12.1,9.3
19:53:12,24.0,0.0,-58.2,-6.3
19:53:12,54.51,0.0,-69.2,-2.3
19:53:13,79.02,0.0,-60.5,3.7
19:53:13,58.4,0.0,-68.1,11.1
19:53:13,38.92,0.0,-69.7,11.9
19:53:13,33.38,0.0,-43.0,11.7
19:53:13,24.74,0.0,-2.8,1.3
19:53:13,14.39,42.7,0.0,-15.8
19:53:13,10.36,81.2,0.0,-5.6
19:53:13,11.17,0.0,-13.7,32.0
19:53:13,16.37,0.0,-16.0,61.3
19:53:13,20.18,0.0,-52.0,1.1
19:53:14,42.78,0.0,-62.1,-3.5
19:53:14,79.59,0.0,-69.1,8.9
19:53:14,70.78,0.0,-63.6,9.1
19:53:14,47.78,0.0,-63.1,9.5
19:53:14,37.67,0.0,-61.4,0.7
19:53:14,27.24,0.0,-9.4,-3.4
19:53:14,15.27,34.0,0.0,-5.7
19:53:14,10.27,85.0,0.0,3.2
19:53:14,10.84,0.0,-7.0,34.8
19:53:15,17.0,0.0,-9.5,55.1
19:53:15,20.74,0.0,-51.7,-3.7
19:53:15,38.62,0.0,-57.1,-8.2
19:53:15,74.41,0.0,-66.1,4.9
19:53:15,73.93,0.0,-62.4,11.5
19:53:15,49.85,0.0,-70.1,6.7
19:53:15,37.41,0.0,-69.2,10.1
19:53:15,29.37,0.0,-23.3,8.9
